abbreviation	keggId	pubChemId	cheBlId	hmdb
10fthf5glu				
10fthf6glu				
10fthf7glu				
10fthf	C00234	122347	15637	HMDB0000972
11docrtsl	C05488	53477676		HMDB0000015
11docrtstrn	C03205	6166	16973	HMDB0000016
13dampp	C00986	428	15725	HMDB0000002
h2o	C00001	962	15377	HMDB0002111
o2	C00007	977	15379	HMDB0001377
bamppald	C05665	75	18090	HMDB0001106
h2o2	C00027	784	16240	HMDB0003125
nh4	C00014	222	16134	HMDB0000051
2425dhvitd2				
h	C00080	1038	15378	HMDB0059597
nadph	C00005	22833512	16474	HMDB0000221
1a2425thvitd2		9547253		HMDB0006227
nadp	C00006	5886	18009	HMDB0000217
2425dhvitd3	C07712	5281059		HMDB0060508
1a2425thvitd3		6446280	47799	HMDB0006228
1a25dhvitd2		9547243	86320	HMDB0006225
1a25dhvitd3	C01673	5280453	17823	HMDB0001903
1mncam	C02918	457	16797	HMDB0000699
atp	C00002	5957	15422	HMDB0000538
adp	C00008	6022	16761	HMDB0001341
pi	C00009	1061	18367	HMDB0001429
1pipdn2c	C04092	1194	30912	HMDB0001084
nadh	C00004	928	16908	HMDB0001487
Lpipecol	C00408	439227	30913	HMDB0000716
nad	C00003	5893	15846	HMDB0000902
25hvitd2		22833566		HMDB0001438
25hvitd3	C01561	5283731	17933	HMDB0003550
24nph	C02235	3505109	16318	HMDB0002916
2amac	C02218	123991	17123	HMDB0003609
pyr	C00022	1060	32816	HMDB0000243
paps	C00053	10214	17980	HMDB0001134
Lcyst	C00506	25701	21260	HMDB0002757
pap	C00054	159296	17985	HMDB0000061
L2aadp	C00956	469	37024	HMDB0000510
akg	C00026	51	30915	HMDB0000208
2dr1p	C00672	439287	28542	HMDB0001351
drib	C01801	22833604	28816	HMDB0003224
2hb	C05984	11266	1148	HMDB0000008
2obut	C00109	58	30831	HMDB0000005
hco3	C00288	769	17544	HMDB0000595
na1	C01330	923	29101	HMDB0000588
2mcit		515	30835	HMDB0000379
2oxoadp	C00322	71	15753	HMDB0000225
coa	C00010	6816	1146900	HMDB0001423
co2	C00011	280	16526	HMDB0001967
glutcoa	C00527	439252	15524	HMDB0001339
34dhmald	C05577	151725	27852	HMDB0006242
34dhoxpeg	C05576	91528	1387	HMDB0000318
34dhpha	C01161	547	41941	HMDB0001336
amet	C00019	16757548	15414	HMDB0001185
ahcys	C00021	439155	16680	HMDB0000939
homoval	C05582	1738	545959	HMDB0000118
34dhphe	C00355	6047	15765	HMDB0000181
34dhpac	C04043	119219	27978	HMDB0003791
34dhoxmand	C05580	85782	27637	HMDB0001866
34hpp	C01179	979	15999	HMDB0000707
34hpl	C03672	9378	17385	HMDB0000755
hgentis	C00544	780	44747	HMDB0000130
35cgmp	C00942	24316	16356	HMDB0001314
3aib	C03284	439434	33094	HMDB0002166
2mop	C00349	296	16256	HMDB0001172
glu_L	C00025	33032	16015	HMDB0000148
3dphb				
3dpdhb		54738022	62793	HMDB0062204
3dsphgn	C02934	439853	17862	HMDB0001480
sphgn	C00836	91486	16566	HMDB0000269
3hanthrn	C00632	86	15793	HMDB0001476
cmusa	C04409	5280673	995	HMDB0001330
b2coa	C00877	5280381	15473	HMDB0002009
3hbcoa_R	C03561	440045	15452	HMDB0001166
3hibutcoa	C04047		15481	
